task_id,phase,criterion_id,acceptance_criterion,verification_status,evidence_path
T04,Technical,T04-AC05,Visible and AI-readable identities agree.,not_run,
T04,Technical,T04-AC06,`node qa/check.mjs` and structured-data tests pass.,not_run,
T05,Technical,T05-AC01,Root slash representation is consistent.,not_run,
T05,Technical,T05-AC02,Sitemaps contain no non-canonical or noindex page unless intentionally documented.,not_run,
T05,Technical,T05-AC03,Robots references resolve.,not_run,
T05,Technical,T05-AC04,The README accurately states redirect limitations.,not_run,
T05,Technical,T05-AC05,Deployment excludes QA/private files.,not_run,
T05,Technical,T05-AC06,`node qa/check.mjs` passes.,not_run,
T06,Technical,T06-AC01,Every contact action works with JavaScript enabled and disabled.,not_run,
T06,Technical,T06-AC02,Any form has a real tested endpoint and accessible labels/errors.,not_run,
T06,Technical,T06-AC03,No placeholder endpoint or private secret exists.,not_run,
T06,Technical,T06-AC04,Intent preselection is stable and documented.,not_run,
T06,Technical,T06-AC05,`node qa/check.mjs` passes.,not_run,
T07,Technical,T07-AC01,Each listed regression produces a clear actionable error.,not_run,
T07,Technical,T07-AC02,The checker remains deterministic offline.,not_run,
T07,Technical,T07-AC03,A clean site passes in CI.,not_run,
T07,Technical,T07-AC04,Known bad fixtures fail.,not_run,
T07,Technical,T07-AC05,Runtime remains reasonable for a small static site.,not_run,
T07,Technical,T07-AC06,README documents the checks.,not_run,
T08,Technical,T08-AC01,Browser tests cover all listed viewports.,not_run,
T08,Technical,T08-AC02,Mobile navigation and skip link have automated behavior tests.,not_run,
T08,Technical,T08-AC03,Serious/critical axe findings fail CI.,not_run,
T08,Technical,T08-AC04,Screenshots are reviewable and stable enough to detect major regressions.,not_run,
T08,Technical,T08-AC05,Production output contains no browser-test package.,not_run,
T08,Technical,T08-AC06,Baseline static QA still passes.,not_run,
T09,Technical,T09-AC01,A reproducible baseline report exists.,not_run,
T09,Technical,T09-AC02,No asset is obviously oversized for its rendered dimensions.,not_run,
T09,Technical,T09-AC03,"Key pages have distinct, correct OG assets.",not_run,
T09,Technical,T09-AC04,LCP preload/priority is intentional.,not_run,
T09,Technical,T09-AC05,CLS safeguards remain through explicit dimensions/aspect ratios.,not_run,
T09,Technical,T09-AC06,Static and browser QA pass.,not_run,
T10,Technical,T10-AC01,Visible and machine-readable identities match.,not_run,
T10,Technical,T10-AC02,All Brand and Final Release Gates pass.,not_run,
T10,Technical,T10-AC03,All required tests pass or an explicit blocker is recorded.,not_run,
T10,Technical,T10-AC04,No private/dev pack file is published.,not_run,
T10,Technical,T10-AC05,"No public TODO, placeholder, dead source or unsupported claim remains.",not_run,
T10,Technical,T10-AC06,A complete release report exists.,not_run,
